                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.28319,                0.16155,                0.17857,                0.89455,                0.99997,                      1,                  0.995,                0.99482,                0.99997,                      1,                  0.995,                0.99487,                0.12187,                0.08637,                0.09372,                0.61645,              0.0013268,              0.0013268,              0.0013268
                     37,                0.27901,                0.15977,                0.17767,                0.89581,                0.99997,                      1,                  0.995,                0.99497,                0.99997,                      1,                  0.995,                0.99497,                0.11805,                0.09511,                0.08966,                0.61602,               0.001307,               0.001307,               0.001307
                     38,                0.27661,                0.15558,                0.17606,                0.89361,                0.99997,                      1,                  0.995,                0.99497,                0.99997,                      1,                  0.995,                0.99499,                0.12283,                0.08964,                0.09771,                0.61727,              0.0012872,              0.0012872,              0.0012872
                     39,                0.27507,                0.15593,                0.17593,                0.89228,                0.99997,                      1,                  0.995,                0.99491,                0.99997,                      1,                  0.995,                0.99499,                 0.1224,                 0.0926,                0.09398,                0.61595,              0.0012674,              0.0012674,              0.0012674
                     40,                0.27184,                0.15747,                0.17199,                0.88971,                0.99997,                      1,                  0.995,                0.99499,                0.99997,                      1,                  0.995,                  0.995,                0.11522,                0.09114,                0.08839,                0.61576,              0.0012476,              0.0012476,              0.0012476
                     41,                0.27743,                0.15732,                0.17623,                0.89434,                0.99997,                      1,                  0.995,                0.99499,                0.99997,                      1,                  0.995,                  0.995,                0.11498,                0.08938,                0.09344,                0.61455,              0.0012278,              0.0012278,              0.0012278
                     42,                0.27528,                0.15447,                0.17335,                0.89394,                0.99987,                      1,                  0.995,                0.99466,                0.99987,                      1,                  0.995,                 0.9947,                0.12273,                 0.0964,                0.10418,                0.61672,               0.001208,               0.001208,               0.001208
                     43,                0.27396,                0.15225,                0.17191,                0.89452,                0.99997,                      1,                  0.995,                0.99487,                0.99997,                      1,                  0.995,                0.99491,                0.12235,                0.09008,                0.09272,                0.61611,              0.0011882,              0.0011882,              0.0011882
                     44,                0.27387,                0.15771,                0.17172,                0.89418,                0.99997,                      1,                  0.995,                0.99495,                0.99997,                      1,                  0.995,                0.99497,                0.12105,                0.08922,                0.08788,                0.61651,              0.0011684,              0.0011684,              0.0011684
                     45,                0.27545,                0.15501,                0.17065,                0.89244,                0.99997,                      1,                  0.995,                0.99493,                0.99997,                      1,                  0.995,                0.99495,                 0.1134,                0.08946,                0.09875,                  0.615,              0.0011486,              0.0011486,              0.0011486
