                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.20738,                0.21711,                0.16895,                0.88444,                0.99746,                      1,                  0.995,                  0.995,                0.99746,                      1,                  0.995,                  0.995,                0.12084,                0.12423,                 0.1021,                0.63833,              0.0005942,              0.0005942,              0.0005942
                     74,                 0.2051,                0.21176,                0.16526,                0.88421,                0.99737,                      1,                  0.995,                  0.995,                0.99737,                      1,                  0.995,                  0.995,                0.09498,                0.12522,                0.09755,                0.63389,              0.0005744,              0.0005744,              0.0005744
                     75,                0.19916,                 0.2133,                0.16382,                0.88326,                0.99698,                      1,                  0.995,                  0.995,                0.99698,                      1,                  0.995,                  0.995,                0.08343,                0.11616,                0.07897,                0.63316,              0.0005546,              0.0005546,              0.0005546
                     76,                0.19829,                0.20634,                0.16589,                 0.8816,                 0.9975,                      1,                  0.995,                  0.995,                 0.9975,                      1,                  0.995,                  0.995,                0.08809,                0.10822,                0.08261,                0.63091,              0.0005348,              0.0005348,              0.0005348
                     77,                 0.2019,                 0.2156,                 0.1648,                0.88915,                0.99753,                      1,                  0.995,                  0.995,                0.99753,                      1,                  0.995,                  0.995,                 0.1129,                0.12775,                0.10578,                0.63809,               0.000515,               0.000515,               0.000515
                     78,                 0.2044,                0.21534,                0.16288,                0.88586,                0.99734,                      1,                  0.995,                  0.995,                0.99734,                      1,                  0.995,                  0.995,                0.11751,                0.13553,                0.11913,                0.63716,              0.0004952,              0.0004952,              0.0004952
                     79,                0.19785,                0.21048,                0.16006,                0.87975,                0.99746,                      1,                  0.995,                  0.995,                0.99746,                      1,                  0.995,                  0.995,                0.09683,                0.11666,                0.09734,                0.63213,              0.0004754,              0.0004754,              0.0004754
                     80,                 0.1965,                0.21326,                0.16012,                0.87998,                0.99752,                      1,                  0.995,                  0.995,                0.99752,                      1,                  0.995,                  0.995,                0.12463,                0.12331,                0.10801,                0.64053,              0.0004556,              0.0004556,              0.0004556
                     81,                0.20255,                0.21676,                0.15498,                 0.8902,                0.99755,                      1,                  0.995,                  0.995,                0.99755,                      1,                  0.995,                  0.995,                0.09782,                 0.1181,                0.09416,                0.63498,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.2026,                0.22014,                0.16059,                0.88478,                0.99752,                      1,                  0.995,                  0.995,                0.99752,                      1,                  0.995,                  0.995,                0.08375,                0.11447,                0.09378,                0.63256,               0.000416,               0.000416,               0.000416
                     83,                0.20394,                 0.2233,                0.15796,                0.88458,                0.99755,                      1,                  0.995,                  0.995,                0.99755,                      1,                  0.995,                  0.995,                0.10007,                0.11565,                0.09355,                0.63508,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.1951,                 0.2151,                0.15581,                0.88678,                0.99753,                      1,                  0.995,                  0.995,                0.99753,                      1,                  0.995,                  0.995,                0.10968,                 0.1126,                0.08563,                0.63636,              0.0003764,              0.0003764,              0.0003764
                     85,                0.19735,                0.21589,                0.15464,                0.88173,                0.99753,                      1,                  0.995,                  0.995,                0.99753,                      1,                  0.995,                  0.995,                0.08532,                0.11576,                0.10266,                0.63505,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.2008,                0.22098,                0.15263,                0.88475,                0.99749,                      1,                  0.995,                  0.995,                0.99749,                      1,                  0.995,                  0.995,                0.07936,                0.11939,                0.07598,                 0.6313,              0.0003368,              0.0003368,              0.0003368
                     87,                0.19869,                0.21815,                0.15014,                0.88346,                 0.9975,                      1,                  0.995,                  0.995,                 0.9975,                      1,                  0.995,                  0.995,                0.08221,                0.11999,                0.07608,                0.63147,               0.000317,               0.000317,               0.000317
                     88,                0.19187,                0.21249,                0.14563,                0.88089,                0.99751,                      1,                  0.995,                  0.995,                0.99751,                      1,                  0.995,                  0.995,                0.09369,                0.12133,                0.08064,                0.63299,              0.0002972,              0.0002972,              0.0002972
                     89,                0.19699,                0.22093,                0.15027,                0.88141,                0.99752,                      1,                  0.995,                  0.995,                0.99752,                      1,                  0.995,                  0.995,                0.07331,                0.11706,                0.07261,                0.63093,              0.0002774,              0.0002774,              0.0002774
                     90,                0.19501,                0.22155,                0.15372,                0.88792,                0.99748,                      1,                  0.995,                  0.995,                0.99748,                      1,                  0.995,                  0.995,                 0.0814,                0.11363,                0.07602,                0.63184,              0.0002576,              0.0002576,              0.0002576
                     91,                0.10832,                0.15637,                0.11702,                0.84306,                0.99746,                      1,                  0.995,                  0.995,                0.99746,                      1,                  0.995,                  0.995,                 0.0945,                0.12781,                0.08608,                 0.6319,              0.0002378,              0.0002378,              0.0002378
                     92,                0.10707,                0.13121,                0.10225,                 0.8484,                0.99753,                      1,                  0.995,                  0.995,                0.99753,                      1,                  0.995,                  0.995,                0.09743,                0.12119,                0.08286,                0.63464,               0.000218,               0.000218,               0.000218
                     93,                 0.1022,                0.12719,                0.08669,                0.84825,                0.99752,                      1,                  0.995,                  0.995,                0.99752,                      1,                  0.995,                  0.995,                0.09526,                 0.1186,                0.07883,                0.63199,              0.0001982,              0.0001982,              0.0001982
                     94,                0.10211,                0.13004,                0.08822,                0.83662,                0.99751,                      1,                  0.995,                  0.995,                0.99751,                      1,                  0.995,                  0.995,                0.08465,                 0.1173,                0.08621,                0.63396,              0.0001784,              0.0001784,              0.0001784
                     95,                0.09997,                0.13023,                0.08894,                0.85163,                 0.9975,                      1,                  0.995,                  0.995,                 0.9975,                      1,                  0.995,                  0.995,                0.08461,                0.12098,                0.07958,                0.63143,              0.0001586,              0.0001586,              0.0001586
                     96,                0.09235,                0.12572,                 0.0812,                 0.8466,                0.99751,                      1,                  0.995,                  0.995,                0.99751,                      1,                  0.995,                  0.995,                0.10478,                0.11714,                0.08858,                0.63424,              0.0001388,              0.0001388,              0.0001388
                     97,                0.09255,                0.12803,                0.07997,                0.84836,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.08451,                0.11686,                0.06609,                0.63064,               0.000119,               0.000119,               0.000119
                     98,                0.09041,                0.12769,                 0.0777,                0.84557,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.08381,                0.11662,                0.07097,                0.63189,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.09085,                0.12802,                0.07899,                0.84522,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                  0.083,                 0.1171,                0.07862,                0.63085,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.08545,                0.12779,                0.06941,                 0.8273,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.08108,                0.11773,                0.07262,                0.63103,               5.96e-05,               5.96e-05,               5.96e-05
